Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming3-intel-core-i5-12450h-8gb-512gb-rtx3050-dos-15-6-onyx-grey-gaming-laptop-82s9015utx-p-744554283,24.899 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-9-intel-core-i7-13700h-64-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-17-3-fhd-144-hz-p-736956935,52.699 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3070Ti,DDR4,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.7,,Yok,IPS,16 GB,Belirtilmemiş,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-5-an515-58-corei7-12700h-16gb-512gb-ssd-3070ti-8gb-fdos-15-6-fhd-notebook-nh-qfsey-002-p-343103450,39.599 TL
,Bluetooth - HDMI,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,120 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,32 GB,DDR4,Gri,1 TB,,,,1920 x 1200,WQXGA,13900H,13. Nesil,Intel Core i9,14,Free Dos,,https://www.trendyol.com//asus/vivobook-16x-k3605vv-n1124-8gb-rtx4060-intel-i9-13900h-32gb-1tb-ssd-16-wuxga-120hz-300-nits-p-784175633,49.999 TL
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,165 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,5.0,,,IPS,64 GB,DDR5,Gri,2 TB,,,,2560 x 1600,WQHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1390-ex70x-c-intel-core-i9-13900hx-64gb-ddr5-ram-2tb-nvme-ssd-8gb-rtx4070-freedos-p-672175511,66.099 TL
32 GB,USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/7p648ea-victus-16-r0053nt-i5-13500h-16g-ram-6g-4050-512gb-144-hz-16-1-fhd-freedos-gaming-notebook-p-737777568,"34.355,11 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3080,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Siyah,1 TB,,,3.2,1920 x 1080,Full HD (FHD),5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-45-amd-ryzen-7-5800h-32-gb-1-tb-ssd-rtx-3080-8-gb-freedos-15-6-fhd-144-hz-tasina-p-764608599,36.899 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nua54-lp030a54-amd-ryzen-7-7735hs-16gb-1tb-ssd-rtx4050-freedos-15-6-p-700140896,34.500 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-32gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-p-765441765,"39.499,99 TL"
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,TN,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7535HS,5. Nesil,AMD Ryzen 5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//msi/bravo-15-c7ve-062xtr-amd-ryzen-5-7535hs-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-743648749,34.464 TL
,HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,64 GB,DDR5,Siyah,4 TB,,,,2560 x 1440,QHD,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//hp/omen-17-ck2001nti9-13900hx-64gb-2tb-ssd-2tb-ssd-w11pro-rtx4090-16gb-17-3-qhd-240hz-7p6d4ea12-p-741804427,164.800 TL
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX350,GDDR5,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/v15-82kb09cntx06-i5-1135g7-16gb-512ssd-mx350-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-375710071,19.462 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Siyah,500 GB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-intel-core-i5-12450h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273446,30.899 TL
32 GB,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,16,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp030-amd-ryzen-7-7735hs-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-711632611,32.989 TL
128 GB,Bluetooth,Micro USB - DVI-D,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,DVD Okuyucu,IPS,32 GB,DDR4,Gri,2 TB,Gen 4,AM5,Belirtilmemiş,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829,39.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,500 GB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-beg0x-b-intel-core-i5-12450h-16-gb-500gb-rtx-2050-fdos-p-776822940,25.499 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-16-wf0011nt-intel-core-i7-13700hx-32-gb-1tb-rtx4080-12gb-16-1-165hz-fhd-dos-81t48ea-p-741173369,67.999 TL
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,1 TB,Q Türkçe,Oyun,4.4,,,IPS,32 GB,DDR4,Gümüş,1 TB,,,,1920 x 1080,FHD+,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//monster/huma-h5-v4-1-10-intel-core-i5-1235u-32gb-ram-1tb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-646807798,23.199 TL
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6X,8 GB,Harici,165 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Gri,1 TB,Gen 4,,,2560 x 1600,WQHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1370-dfb0x-c-intel-core-i7-13700hx-32gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672182432,48.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,500 GB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-9-intel-core-i7-11800h-32gb-ram-500gb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674247724,30.699 TL
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1200,WUXGA,12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//asus/vivobook-16x-k3605zc-n1013w-i5-12450h-8gb-512ssd-rtx3050-16-fullhd-w11h-tasinabilir-bilgisaya-p-753697054,25.999 TL
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-7p6b3ea-16-r0007nt-i7-13700h-16gb-1tb-rtx4070-8gb-16-1-inc-144hz-fhd-freedos-gaming-laptop-p-738506102,48.899 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Dahili,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0035nt-ryzen-5-7640hs-16gb-ram-rtx-4060-512gb-ssd-16-1-inc-fhd-144hz-freedos-7z5z2ea-p-742301709,33.499 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/tuf-fx507zu4-lp050w-core-i7-12700h-islemci-8gb-ram-512gbssd-rtx4050ekran-karti-15-6-win11-laptop-g-p-759342998,38.999 TL
,,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,IPS,32 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,QHD,13980HX,13. Nesil,Intel Core i9,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6040-intel-i9-13980hx-32gb-2tb-ssd-16gb-rtx4090-18-inc-qhd-240hz-p-641763535,122.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,Oyun,4.5,,Yok,IPS,8 GB,DDR5,Siyah,512 GB,,,3.3,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-r5-6600h-8gb-512gb-ssd-rtx3050-dos-15-6-fhd-nh-qgxey-001-canta-ve-mouse-p-362203628,23.599 TL
,USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,2560 x 1600,QHD+,13650HX,13. Nesil,Intel Core i7,14,Linux,,https://www.trendyol.com//dell/gaming-g16-7630-g167630005u-i7-16gb-ddr5-512gb-ssd-rtx4060-8gb-16inc-qhd-ubuntu-gaming-laptop-p-749852874,45.499 TL
,HDMI - USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1600,QHD+,13900HX,13. Nesil,Intel Core i9,24,Linux,,https://www.trendyol.com//dell/gaming-g16-7630-g76302401021u-i9-32gb-1tb-rtx4070-8gb-16inc-qhd-165hz-ubuntu-gaming-laptop-p-761995265,61.799 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-g614jua42-n3110a42-intel-i7-13650hx-32gb-1tb-ssd-rtx4050-yok-free-dos-16-p-700140861,"51.097,17 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR4,Siyah,500 GB,Gen 4,,2.6,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-5-intel-core-i5-13500h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736036151,32.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t7-v20-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-736976035,39.999 TL
,,,2 kg ve Altı,Yok,"16,1 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,Q Türkçe,Oyun,4.7,,,,16 GB,DDR5,Siyah,1 TB,,,3.5,2560 x 1440,QHD,12700H,12. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/omen-16-k0009nt-7h8z6ea-i7-12700h-16gb-1tb-ssd-rtx-3060-16-1-inc-165hz-qhd-freedos-gaming-laptop-p-658197101,39.899 TL
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,13. Nesil,Intel Core i7,24,Free Dos,,https://www.trendyol.com//asus/tuf-dash-f15-fx517zm-hn073-i7-12650h-16gb-ram-1tb-ssd-6gb-rtx3060-15-6-inc-fhd-144hz-p-675112811,40.699 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,8 GB,DDR4,Siyah,500 GB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-6-intel-core-i5-12450h-8-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760272956,29.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dxa0x-b-intel-core-i5-12450h-32gb-ram-2tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672154569,32.999 TL
,HDMI - USB,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12ve-082xtr-intel-core-i5-12450h-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-761160346,29.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,24,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-82s9013utx-i7-12650h-8gb-512gb-ssd-rtx-3050-ti-15-6-freedos-p-777718238,30.599 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,500 GB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t7-v20-6-intel-core-i7-13700h-16-gb-ram-500-gb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-737007150,44.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/g15-5530-6gb-rtx3050-intel-i7-13650hx-16gb-ram-512gb-ssd-15-6-fhd-120hz-win11-g55302401005h-p-742776709,33.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060 Max-P,GDDR6,6 GB,Harici,240 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,64 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,FHD+,12700H,12. Nesil,Intel Core i7,8,Windows,,https://www.trendyol.com//msi/pulse-gl66-12uek-253tr-01-intel-core-i7-12700h-64gb-1tb-ssd-rtx3060-windows-11-home-15-6-fhd-ta-p-776771847,53.210 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),Belirtilmemiş,13. Nesil,Intel Core i5,10,Linux,,https://www.trendyol.com//dell/g15-5530-i5-13450hx-16gb-512gb-ssd-6gb-rtx4050-15-6-fhd-165hz-ubuntu-g155530008u-p-760912225,31.249 TL
,Bluetooth,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-17-cm2005nt-7p6d8ea-13-uyumlu-intel-i7-13700hx-16gb-1tb-ssd-8gb-rtx4060-17-3-inc-qhd-165hz-p-740956247,49.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/katana-gf66-12uc-258xtr-i5-12500h-8gb-ddr4-rtx3050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-260182851,"40.673,27 TL"
16 GB,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,3.3,,,VA,16 GB,DDR4,Gri,512 GB,Gen 3,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82s9016ntx-i5-12450h-16gb-512gb-ssd-6gb-rtx3060-freedos-15-6-fhd-notebook-p-764985395,29.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,IPS,32 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//gigabyte/g5-kf-e3ee313sd32-intel-core-i5-12500h-32gb-512gb-ssd-rtx4060-freedos-15-6-fhd-ips-p-785184531,32.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g18-g814ji-n6103-8gb-rtx4070-140w-13-nesil-i9-13980hx-32gb-1tb-ssd-18-inc-qhd-240hz-p-736598271,74.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/stealth-17-studio-a13vh-025tr-i9-13900h-32gb-ddr5-2tb-ssd-12gb-rtx4080-17-3-uhd-144hz-win11-ga-p-658945089,136.489 TL
